Placas Petri;2 placas Petri con gelatina de agar.
Cristales de Permanganato de Potasio;Cristales de Permanganato de Potasio: (KMnO4) – peso molecular = 158g/mol.
Cristales de Azul e Metileno;Cristales de Azul e Metileno: (C16H18N3SCl) – peso molecular = 320g/mol.
1 pipeta; 
2 pinzas; 
1 regla métrica corta; 
1 papa; es una papa
1 escarpelo; 
Solución de agua con sal (NaCl) 10%; 
Agua destilada; 
Probeta de 25ml; 
7 pipetas 10ml;
6 tubos de ensayo; 
1 placa Petri; 
1 bandeja de disección; 
1 pinzas; 
1 balanza; 
1 regla métrica corta; 
